policy_id,age,gender,territory,vehicle_type,annual_miles,driving_experience_years,exposure,claim_count,total_claim_amount
P0000001,23,F,A,truck,29209,5.9,0.6457,0,0.0
P0000002,66,M,A,truck,9272,50.7,0.5604,0,0.0
P0000003,59,M,A,truck,14440,41.1,0.5537,0,0.0
P0000004,45,F,C,sedan,9511,27.7,0.5047,0,0.0
P0000005,45,F,B,suv,18774,28.4,0.9892,0,0.0
P0000006,72,F,A,suv,14464,53.9,0.8275,0,0.0
P0000007,23,M,A,sedan,30329,9.6,0.6606,0,0.0
P0000008,61,M,C,truck,28764,45.1,0.7895,0,0.0
P0000009,30,M,B,suv,32430,14.8,0.8095,0,0.0
P0000010,23,F,B,suv,17809,7.5,0.5915,0,0.0
P0000011,51,F,A,sedan,21468,34.3,0.6444,0,0.0
P0000012,79,M,A,sedan,31646,63.8,0.7736,0,0.0
P0000013,64,F,C,truck,27100,43.6,0.9199,1,5666.7
P0000014,65,M,C,sedan,34423,47.1,0.5648,0,0.0
P0000015,63,F,B,sedan,35405,47.6,0.9292,0,0.0
P0000016,67,F,C,suv,7338,53.5,0.8045,0,0.0
P0000017,50,F,A,suv,12286,34.2,0.7448,0,0.0
P0000018,26,F,C,sedan,27035,9.7,0.572,0,0.0
P0000019,70,M,A,sedan,8049,54.3,0.775,0,0.0
P0000020,46,F,A,suv,7643,23.9,0.6768,0,0.0
P0000021,49,M,C,truck,9262,35.3,0.5945,0,0.0
P0000022,41,M,C,sedan,7223,23.9,0.94,1,3826.87
P0000023,29,M,C,suv,25635,12.3,0.7303,0,0.0
P0000024,76,M,B,sedan,13548,59.5,0.5399,0,0.0
P0000025,67,M,C,suv,34221,53.9,0.6511,0,0.0
P0000026,58,M,B,suv,8149,41.1,0.5908,0,0.0
P0000027,43,F,A,truck,19148,25.6,0.9696,0,0.0
P0000028,69,F,B,suv,25552,50.6,0.6215,0,0.0
P0000029,52,M,B,sedan,16167,34.0,0.7532,0,0.0
P0000030,45,F,B,sedan,27199,25.6,0.8728,0,0.0
P0000031,46,F,C,truck,31053,33.1,0.5793,0,0.0
P0000032,32,M,B,sedan,24817,15.5,0.7187,0,0.0
P0000033,23,F,A,suv,23808,1.0,0.8266,0,0.0
P0000034,52,M,A,sedan,22836,32.9,0.941,0,0.0
P0000035,73,M,C,sedan,35798,58.9,0.8271,1,8137.9
P0000036,22,F,A,suv,29218,4.8,0.54,0,0.0
P0000037,72,M,C,sedan,6865,57.1,0.6608,0,0.0
P0000038,70,F,A,truck,28949,53.9,0.6755,0,0.0
P0000039,35,M,A,sedan,10112,14.0,0.6941,0,0.0
P0000040,57,M,C,sedan,31977,38.1,0.9708,0,0.0
P0000041,28,F,B,sedan,15058,14.0,0.5179,0,0.0
P0000042,65,F,C,sedan,26489,49.5,0.6511,0,0.0
P0000043,62,F,A,suv,27902,45.0,0.7462,0,0.0
P0000044,40,F,B,sedan,16032,23.5,0.5432,0,0.0
P0000045,22,F,B,sedan,34867,4.4,0.7418,1,2866.01
P0000046,79,M,C,truck,21265,63.5,0.5536,0,0.0
P0000047,46,F,A,sedan,18103,29.7,0.9189,1,1794.07
P0000048,74,M,A,sedan,20208,58.6,0.635,0,0.0
P0000049,60,F,B,truck,14542,43.7,0.7615,0,0.0
P0000050,67,M,C,suv,8343,48.6,0.8092,0,0.0
P0000051,65,F,C,sedan,35429,47.4,0.6529,0,0.0
P0000052,30,F,C,truck,30164,14.4,0.6757,1,587.27
P0000053,40,M,B,suv,30242,20.7,0.7553,0,0.0
P0000054,47,F,B,sedan,33298,27.9,0.9027,0,0.0
P0000055,49,M,C,sedan,23972,32.0,0.7263,0,0.0
P0000056,20,F,C,truck,35516,3.5,0.7454,1,7528.17
P0000057,52,M,C,sedan,35543,31.5,0.7979,0,0.0
P0000058,27,M,C,truck,12686,6.8,0.7126,0,0.0
P0000059,64,M,C,sedan,18655,50.0,0.863,0,0.0
P0000060,61,F,A,sedan,7964,41.6,0.5025,0,0.0
P0000061,76,F,A,truck,26769,55.6,0.7415,0,0.0
P0000062,64,F,C,truck,8442,45.7,0.9615,0,0.0
P0000063,41,F,B,sedan,28656,24.9,0.808,0,0.0
P0000064,78,F,A,sedan,29933,61.7,0.7432,0,0.0
P0000065,43,M,B,suv,17749,22.6,0.886,0,0.0
P0000066,38,F,B,suv,24583,19.3,0.6965,0,0.0
P0000067,75,M,C,sedan,34423,56.9,0.7336,0,0.0
P0000068,41,F,C,sedan,28439,19.3,0.5976,0,0.0
P0000069,22,F,A,truck,18661,7.0,0.5621,0,0.0
P0000070,47,F,B,sedan,33061,30.2,0.5128,0,0.0
P0000071,68,F,A,sedan,6241,50.6,0.8658,0,0.0
P0000072,29,F,C,sedan,12014,12.4,0.7341,0,0.0
P0000073,47,F,A,sedan,15154,33.7,0.9697,0,0.0
P0000074,26,F,B,suv,16286,7.0,0.5884,0,0.0
P0000075,61,M,B,sedan,25839,45.5,0.622,0,0.0
P0000076,47,F,B,suv,29563,31.5,0.8194,1,6662.24
P0000077,38,F,B,sedan,6649,21.7,0.5273,0,0.0
P0000078,32,F,B,sedan,13041,15.5,0.7517,0,0.0
P0000079,53,F,B,truck,30356,36.2,0.5618,0,0.0
P0000080,60,M,A,suv,20687,41.1,0.5807,0,0.0
P0000081,77,F,A,sedan,14614,57.7,0.756,0,0.0
P0000082,45,M,B,sedan,18746,28.5,0.7845,0,0.0
P0000083,28,F,A,suv,23784,12.2,0.606,0,0.0
P0000084,70,F,C,suv,23454,53.3,0.6356,0,0.0
P0000085,57,M,A,suv,30706,41.8,0.6421,0,0.0
P0000086,62,F,C,suv,35634,45.1,0.5709,0,0.0
P0000087,24,M,A,sedan,30046,8.9,0.9829,0,0.0
P0000088,37,F,C,truck,8215,15.7,0.8461,0,0.0
P0000089,66,M,A,sedan,18069,48.7,0.5554,0,0.0
P0000090,70,F,B,sedan,20023,54.1,0.6786,1,4656.19
P0000091,45,F,A,suv,24511,26.6,0.5863,0,0.0
P0000092,68,M,B,sedan,34728,53.5,0.6172,0,0.0
P0000093,71,F,A,sedan,18854,55.4,0.9697,0,0.0
P0000094,42,F,C,sedan,15784,24.2,0.5684,0,0.0
P0000095,74,M,B,suv,32899,56.7,0.9399,0,0.0
P0000096,36,M,C,suv,27958,16.9,0.9209,2,8287.3
P0000097,33,M,B,suv,19220,21.5,0.8718,0,0.0
P0000098,60,M,B,sedan,33807,41.4,0.7484,0,0.0
P0000099,58,M,C,sedan,14381,42.1,0.6292,0,0.0
P0000100,26,M,A,truck,12458,11.3,0.9155,0,0.0
P0000101,70,M,B,suv,5663,56.4,0.917,0,0.0
P0000102,30,F,A,sedan,7522,14.1,0.7627,0,0.0
P0000103,68,F,B,sedan,31800,47.8,0.5238,0,0.0
P0000104,18,M,A,sedan,7346,0.0,0.5965,0,0.0
P0000105,68,M,B,sedan,28709,47.7,0.528,0,0.0
P0000106,67,F,B,suv,7262,50.2,0.5899,0,0.0
P0000107,67,F,B,truck,12138,49.8,0.7542,0,0.0
P0000108,59,F,A,truck,15866,45.2,0.9271,0,0.0
P0000109,47,F,B,sedan,11657,33.2,0.8266,0,0.0
P0000110,62,M,C,sedan,8912,45.3,0.8005,0,0.0
P0000111,35,F,A,suv,35648,20.8,0.874,0,0.0
P0000112,67,M,A,sedan,17555,51.7,0.82,0,0.0
P0000113,53,M,C,suv,18115,35.9,0.7217,0,0.0
P0000114,46,M,C,suv,28377,26.5,0.9077,0,0.0
P0000115,49,F,A,sedan,33333,32.0,0.6551,0,0.0
P0000116,53,M,B,sedan,14245,38.7,0.9641,1,3587.21
P0000117,20,M,A,sedan,19050,6.6,0.5581,1,2733.15
P0000118,26,M,C,suv,19861,8.8,0.8188,0,0.0
